,sample,bin_size,PC_pair,TH,RMSE
269,Sample_1,4.7,"4,5",-2,0.7253720280375929
270,Sample_1,1.95,"4,5",-1,0.8004162590661668
271,Sample_1,4.65,"4,5",-2,0.7526161637255571
272,Sample_1,1.3,"4,5",-1,0.8161055458075772
273,Sample_1,4.25,"4,5",-3,0.5300606280657045
274,Sample_1,0.7,"4,5",-2,0.5000569677910306
275,Sample_1,2.85,"4,5",-2,0.6555764107678506
276,Sample_1,1.9,"4,5",-2,0.595969757338072
277,Sample_1,2.4,"4,5",-1,0.8756334256226453
278,Sample_1,4.3,"4,5",-2,0.746830745146766
279,Sample_1,0.85,"4,5",-2,0.7378568207265455
280,Sample_1,4.3,"4,5",-3,0.5183511118879158
281,Sample_1,2.2,"4,5",-3,0.4801957067212796
282,Sample_1,1.65,"4,5",-2,0.5707266827358622
283,Sample_1,1.5,"4,5",-2,0.6655883860883659
284,Sample_1,3.0,"4,5",-3,0.3797135950492602
285,Sample_1,4.75,"4,5",-1,0.7041580434290059
286,Sample_1,4.2,"4,5",-2,0.7755966101967943
287,Sample_1,3.3,"4,5",-1,0.5192399898533491
288,Sample_1,0.45,"4,5",-1,0.7924342623154714
289,Sample_1,2.05,"4,5",-3,0.5535300573665175
290,Sample_1,0.95,"4,5",-1,0.7102636599101666
291,Sample_1,3.45,"4,5",-3,0.6362500883535898
292,Sample_1,1.95,"4,5",-2,0.6410991273011905
293,Sample_1,3.95,"4,5",-3,0.8031355794868958
294,Sample_1,4.9,"3,5",-2,0.6970714398936521
295,Sample_1,1.35,"3,5",-1,0.7535448287424096
296,Sample_1,2.3,"3,5",-1,0.6963865264137009
297,Sample_1,0.3,"3,5",-2,0.7350462919059174
298,Sample_1,5.0,"3,5",-3,0.668755519897236
299,Sample_1,4.1,"3,5",-3,0.6964060904242044
300,Sample_1,1.0,"3,5",-3,0.444300628239988
301,Sample_1,3.95,"3,5",-2,0.6508071162757116
302,Sample_1,1.4,"3,5",-1,0.6664950878582222
303,Sample_1,2.15,"3,5",-3,0.6590506933280114
304,Sample_1,2.95,"3,5",-2,0.5378697220131893
305,Sample_1,0.2,"3,5",-2,0.5127880965649104
306,Sample_1,2.0,"3,5",-2,0.5745336750405096
307,Sample_1,1.75,"3,5",-2,0.5341552570035814
308,Sample_1,4.95,"3,5",-2,0.6569595915296099
309,Sample_1,3.05,"3,5",-1,0.5213976927345749
310,Sample_1,1.85,"3,5",-1,0.7043597966288453
311,Sample_1,3.6,"3,5",-1,0.6861642589807175
312,Sample_1,2.55,"3,5",-1,0.6546997403607026
313,Sample_1,2.45,"3,5",-3,0.7503783330819187
314,Sample_1,0.5,"3,5",-2,0.7840898927397523
315,Sample_1,2.55,"3,5",-3,0.483006623122595
316,Sample_1,0.35,"3,5",-1,0.34208153445443484
317,Sample_1,0.4,"3,5",-1,0.3803056313086294
318,Sample_1,0.7,"3,5",-3,0.5156105709611363
